training set 506
validation set 506
-------------------------------------
{'lr': 0.0008377019231346562, 'batch_size': 8, 'weight_decay': 2.4427015675775187e-06, 'gamma': 0.00903130010323455}
train_acc: 0.17786561264822134, val_acc: 0.21541501976284586, train_loss: 1.7863152342822712, val_loss: 1.7722297741961572 (1 / 60)
train_acc: 0.18379446640316205, val_acc: 0.18181818181818182, train_loss: 1.7704359589829275, val_loss: 1.7523967682608503 (2 / 60)
train_acc: 0.18774703557312253, val_acc: 0.18181818181818182, train_loss: 1.7528877253588953, val_loss: 1.7411301805096653 (3 / 60)
train_acc: 0.20948616600790515, val_acc: 0.18181818181818182, train_loss: 1.7504995048281704, val_loss: 1.7216323750763542 (4 / 60)
train_acc: 0.22332015810276679, val_acc: 0.30632411067193677, train_loss: 1.737266372786209, val_loss: 1.7086612023854915 (5 / 60)
train_acc: 0.2885375494071146, val_acc: 0.2727272727272727, train_loss: 1.702369820459087, val_loss: 1.6933222542638364 (6 / 60)
train_acc: 0.2845849802371542, val_acc: 0.2984189723320158, train_loss: 1.6792372483980986, val_loss: 1.6299347905773418 (7 / 60)
train_acc: 0.3102766798418972, val_acc: 0.37549407114624506, train_loss: 1.625590267388717, val_loss: 1.5310549123485098 (8 / 60)
train_acc: 0.32806324110671936, val_acc: 0.37549407114624506, train_loss: 1.5982566525342436, val_loss: 1.5546836801197217 (9 / 60)
train_acc: 0.2924901185770751, val_acc: 0.30434782608695654, train_loss: 1.6062405406250784, val_loss: 1.588579886515621 (10 / 60)
train_acc: 0.308300395256917, val_acc: 0.37549407114624506, train_loss: 1.5723007799608435, val_loss: 1.4867907541071472 (11 / 60)
train_acc: 0.35968379446640314, val_acc: 0.3339920948616601, train_loss: 1.5215614124720276, val_loss: 1.501301684398425 (12 / 60)
train_acc: 0.34980237154150196, val_acc: 0.3893280632411067, train_loss: 1.5198279265829697, val_loss: 1.4489812615360667 (13 / 60)
train_acc: 0.3557312252964427, val_acc: 0.33794466403162055, train_loss: 1.4925839142365889, val_loss: 1.4222116993350002 (14 / 60)
train_acc: 0.35177865612648224, val_acc: 0.3675889328063241, train_loss: 1.4452084185106482, val_loss: 1.420514835906123 (15 / 60)
train_acc: 0.3616600790513834, val_acc: 0.37549407114624506, train_loss: 1.4834058294183181, val_loss: 1.4798739239161194 (16 / 60)
train_acc: 0.41304347826086957, val_acc: 0.41106719367588934, train_loss: 1.4148132490075154, val_loss: 1.3247306761534319 (17 / 60)
train_acc: 0.39920948616600793, val_acc: 0.4525691699604743, train_loss: 1.4059491732374954, val_loss: 1.3218183757759365 (18 / 60)
train_acc: 0.41106719367588934, val_acc: 0.4308300395256917, train_loss: 1.39776557094966, val_loss: 1.3157423588598198 (19 / 60)
train_acc: 0.3932806324110672, val_acc: 0.4209486166007905, train_loss: 1.3800065913219226, val_loss: 1.3212138638194841 (20 / 60)
train_acc: 0.38537549407114624, val_acc: 0.4407114624505929, train_loss: 1.3856624741799275, val_loss: 1.324563325158221 (21 / 60)
train_acc: 0.424901185770751, val_acc: 0.46047430830039526, train_loss: 1.343120737038111, val_loss: 1.2506876929475386 (22 / 60)
train_acc: 0.4367588932806324, val_acc: 0.4525691699604743, train_loss: 1.333543907512318, val_loss: 1.2445742339484775 (23 / 60)
train_acc: 0.4308300395256917, val_acc: 0.4782608695652174, train_loss: 1.3293834302736365, val_loss: 1.2551392500579592 (24 / 60)
train_acc: 0.41699604743083, val_acc: 0.4901185770750988, train_loss: 1.3342969982991577, val_loss: 1.2261804243321475 (25 / 60)
train_acc: 0.45652173913043476, val_acc: 0.4505928853754941, train_loss: 1.2546910667136724, val_loss: 1.2541880296624226 (26 / 60)
train_acc: 0.44466403162055335, val_acc: 0.5039525691699605, train_loss: 1.2291747911174307, val_loss: 1.2281511499005344 (27 / 60)
train_acc: 0.466403162055336, val_acc: 0.5059288537549407, train_loss: 1.2280169306065254, val_loss: 1.2008126517058362 (28 / 60)
train_acc: 0.4308300395256917, val_acc: 0.5138339920948617, train_loss: 1.2860843176427095, val_loss: 1.1727960180388137 (29 / 60)
train_acc: 0.48616600790513836, val_acc: 0.44466403162055335, train_loss: 1.259400883446569, val_loss: 1.2940740797359482 (30 / 60)
train_acc: 0.49209486166007904, val_acc: 0.48616600790513836, train_loss: 1.1975280673136353, val_loss: 1.192459461952858 (31 / 60)
train_acc: 0.5158102766798419, val_acc: 0.4841897233201581, train_loss: 1.2047635175493867, val_loss: 1.2160567789680874 (32 / 60)
train_acc: 0.4901185770750988, val_acc: 0.4683794466403162, train_loss: 1.1676724871156716, val_loss: 1.2605916037861067 (33 / 60)
train_acc: 0.5217391304347826, val_acc: 0.46047430830039526, train_loss: 1.1726326221533916, val_loss: 1.2269139836428193 (34 / 60)
train_acc: 0.5197628458498024, val_acc: 0.48221343873517786, train_loss: 1.169487161598658, val_loss: 1.1801939133127688 (35 / 60)
train_acc: 0.5158102766798419, val_acc: 0.5158102766798419, train_loss: 1.1354140792439578, val_loss: 1.1322201561079666 (36 / 60)
train_acc: 0.5810276679841897, val_acc: 0.5316205533596838, train_loss: 1.0294583135913955, val_loss: 1.1067883685643494 (37 / 60)
train_acc: 0.5810276679841897, val_acc: 0.5474308300395256, train_loss: 1.014867725108452, val_loss: 1.0937723340724297 (38 / 60)
train_acc: 0.5849802371541502, val_acc: 0.5553359683794467, train_loss: 1.0099362886470298, val_loss: 1.0830000389234822 (39 / 60)
train_acc: 0.5968379446640316, val_acc: 0.567193675889328, train_loss: 0.9764750187576052, val_loss: 1.079740791452732 (40 / 60)
train_acc: 0.6146245059288538, val_acc: 0.5632411067193676, train_loss: 0.9907858715698182, val_loss: 1.0763620244184502 (41 / 60)
train_acc: 0.5968379446640316, val_acc: 0.5731225296442688, train_loss: 0.9855212859014277, val_loss: 1.0766124404937383 (42 / 60)
train_acc: 0.5830039525691699, val_acc: 0.567193675889328, train_loss: 1.0002818150011448, val_loss: 1.0767021360604658 (43 / 60)
train_acc: 0.650197628458498, val_acc: 0.5652173913043478, train_loss: 0.9504847517126633, val_loss: 1.0775317768805583 (44 / 60)
train_acc: 0.6086956521739131, val_acc: 0.5711462450592886, train_loss: 0.9778515491560985, val_loss: 1.0752314760279749 (45 / 60)
